algorithm,failure_type,n,f,seed,repetition,leader_elected,leader_correct,leader_agreement,values_committed,values_correct,steps,terminated
bully,crash_permanent,31,0,42,0,true,true,1.0000,1.0000,1.0000,2020,true
bully,crash_permanent,31,0,59,1,true,true,1.0000,1.0000,1.0000,1837,true
bully,crash_permanent,31,0,76,2,true,true,1.0000,1.0000,1.0000,1930,true
bully,crash_permanent,31,0,93,3,true,true,1.0000,1.0000,1.0000,1941,true
bully,crash_permanent,31,0,110,4,true,true,1.0000,1.0000,1.0000,1889,true
bully,crash_permanent,31,0,127,5,true,true,1.0000,1.0000,1.0000,1781,true
bully,crash_permanent,31,0,144,6,true,true,1.0000,1.0000,1.0000,1920,true
bully,crash_permanent,31,0,161,7,true,true,1.0000,1.0000,1.0000,1731,true
bully,crash_permanent,31,0,178,8,true,true,1.0000,1.0000,1.0000,1782,true
bully,crash_permanent,31,0,195,9,true,true,1.0000,1.0000,1.0000,1772,true
raft,crash_permanent,31,0,42,0,true,true,1.0000,1.0000,1.0000,986,true
raft,crash_permanent,31,0,59,1,true,true,1.0000,1.0000,1.0000,978,true
raft,crash_permanent,31,0,76,2,true,true,1.0000,1.0000,1.0000,1038,true
raft,crash_permanent,31,0,93,3,true,true,1.0000,1.0000,1.0000,917,true
raft,crash_permanent,31,0,110,4,true,true,1.0000,1.0000,1.0000,1026,true
raft,crash_permanent,31,0,127,5,true,true,1.0000,1.0000,1.0000,969,true
raft,crash_permanent,31,0,144,6,true,true,1.0000,1.0000,1.0000,1042,true
raft,crash_permanent,31,0,161,7,true,true,1.0000,1.0000,1.0000,921,true
raft,crash_permanent,31,0,178,8,true,true,1.0000,1.0000,1.0000,916,true
raft,crash_permanent,31,0,195,9,true,true,1.0000,1.0000,1.0000,911,true
raft_robust,crash_permanent,31,0,42,0,true,true,1.0000,1.0000,1.0000,986,true
raft_robust,crash_permanent,31,0,59,1,true,true,1.0000,1.0000,1.0000,978,true
raft_robust,crash_permanent,31,0,76,2,true,true,1.0000,1.0000,1.0000,1038,true
