algorithm,failure_type,n,f,seed,repetition,delivered_correct,any_delivered,total_correct,delivery_rate,agreed,agreement_rate,steps,terminated
flooding_naive,crash_temporary,31,0,42,0,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,59,1,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,76,2,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,93,3,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,110,4,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,127,5,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,144,6,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,161,7,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,178,8,31,31,31,1.0000,31,1.0000,931,true
flooding_naive,crash_temporary,31,0,195,9,31,31,31,1.0000,31,1.0000,931,true
flooding_ack,crash_temporary,31,0,42,0,31,31,31,1.0000,31,1.0000,7780,true
flooding_ack,crash_temporary,31,0,59,1,31,31,31,1.0000,31,1.0000,7646,true
flooding_ack,crash_temporary,31,0,76,2,31,31,31,1.0000,31,1.0000,7773,true
flooding_ack,crash_temporary,31,0,93,3,31,31,31,1.0000,31,1.0000,8260,true
flooding_ack,crash_temporary,31,0,110,4,31,31,31,1.0000,31,1.0000,8115,true
flooding_ack,crash_temporary,31,0,127,5,31,31,31,1.0000,31,1.0000,7970,true
flooding_ack,crash_temporary,31,0,144,6,31,31,31,1.0000,31,1.0000,8157,true
flooding_ack,crash_temporary,31,0,161,7,31,31,31,1.0000,31,1.0000,7899,true
flooding_ack,crash_temporary,31,0,178,8,31,31,31,1.0000,31,1.0000,7649,true
flooding_ack,crash_temporary,31,0,195,9,31,31,31,1.0000,31,1.0000,7811,true
bracha,crash_temporary,31,0,42,0,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,59,1,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,76,2,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,93,3,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,110,4,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,127,5,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,144,6,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,161,7,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,178,8,31,31,31,1.0000,31,1.0000,1921,true
bracha,crash_temporary,31,0,195,9,31,31,31,1.0000,31,1.0000,1921,true
flooding_naive,crash_temporary,31,1,42,0,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,59,1,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,76,2,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,93,3,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,110,4,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,127,5,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,144,6,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,161,7,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,178,8,30,30,31,0.9677,30,1.0000,904,true
flooding_naive,crash_temporary,31,1,195,9,30,30,31,0.9677,30,1.0000,904,true
flooding_ack,crash_temporary,31,1,42,0,31,31,31,1.0000,31,1.0000,8322,true
flooding_ack,crash_temporary,31,1,59,1,31,31,31,1.0000,31,1.0000,7906,true
flooding_ack,crash_temporary,31,1,76,2,31,31,31,1.0000,31,1.0000,8086,true
flooding_ack,crash_temporary,31,1,93,3,31,31,31,1.0000,31,1.0000,8298,true
flooding_ack,crash_temporary,31,1,110,4,31,31,31,1.0000,31,1.0000,8287,true
flooding_ack,crash_temporary,31,1,127,5,31,31,31,1.0000,31,1.0000,8364,true
flooding_ack,crash_temporary,31,1,144,6,31,31,31,1.0000,31,1.0000,8330,true
flooding_ack,crash_temporary,31,1,161,7,31,31,31,1.0000,31,1.0000,8537,true
flooding_ack,crash_temporary,31,1,178,8,31,31,31,1.0000,31,1.0000,7759,true
flooding_ack,crash_temporary,31,1,195,9,31,31,31,1.0000,31,1.0000,8253,true
bracha,crash_temporary,31,1,42,0,31,31,31,1.0000,31,1.0000,1893,true
bracha,crash_temporary,31,1,59,1,31,31,31,1.0000,31,1.0000,1893,true
bracha,crash_temporary,31,1,76,2,31,31,31,1.0000,31,1.0000,1893,true
bracha,crash_temporary,31,1,93,3,31,31,31,1.0000,31,1.0000,1893,true
